Date,Name,Temp Air,Humidity,L2kWh (Meas),,,,
25/04/2024,Block B Flat 14 Kitchen,17.5,33,31.22,,,,
04/04/2024,Block C Flat 13 Kitchen,18.9,44,31.05,,,,
03/04/2024,Block C Flat 13 Kitchen,21,46,25.31,,,,
01/04/2024,Block B Flat 6 Kitchen,19.7,42,24.49,,,,
17/04/2024,Block D Flat 10-E,-20.8,75,23.08,,,,
02/04/2024,Block C Flat 13 Kitchen,17.7,56,21.84,,,,
17/04/2024,Block B Flat 14 Kitchen,17.7,35,21.15,,,,
01/04/2024,Block A Flat 14 Kitchen,21,41,21.13,,,,
23/04/2024,Block B Flat 14 Kitchen,17.6,36,20.73,,,,
05/04/2024,Block C Flat 13 Kitchen,17.6,50,20.6,,,,
03/04/2024,Block D Flat 2 Kitchen,21.1,46,20.49,,,,
03/04/2024,Block A Flat 6 Kitchen,21.3,41,20.39,,,,
28/04/2024,Block B Flat 14 Kitchen,18.1,37,20.06,,,,
26/04/2024,Block B Flat 14 Kitchen,17.7,32,18.69,,,,
18/04/2024,Block B Flat 14 Kitchen,17.9,45,18.56,,,,
01/04/2024,Block A Flat 15 Kitchen,21.1,44,18.29,,,,
03/04/2024,Block C Flat 14 Kitchen,21.2,44,18.19,,,,
27/04/2024,Block B Flat 14 Kitchen,18.2,35,17.78,,,,
24/04/2024,Block B Flat 14 Kitchen,18.1,31,17.35,,,,
05/04/2024,Block B Flat 13 Kitchen,16.1,55,17,,,,
01/04/2024,Block B Flat 5 Kitchen,20.2,46,15.61,,,,
16/04/2024,Block D Flat 10-E,-20.8,75,15.46,,,,
18/04/2024,Block B Flat 6-D,15.9,56,15.06,,,,
01/04/2024,Block C Flat 3-B,21.2,45,14.75,,,,
03/04/2024,Block C Flat 9 Kitchen,21.1,46,14.58,,,,
03/04/2024,Block C Flat 4 Kitchen,20.9,45,14.24,,,,
19/04/2024,Block B Flat 14 Kitchen,18.3,35,14.14,,,,
09/04/2024,Block C Flat 13 Kitchen,20.2,54,14.02,,,,
01/04/2024,Block C Flat 13 Kitchen,13.1,64,13.67,,,,
02/04/2024,Block B Flat 6 Kitchen,18.2,51,13.6,,,,
01/04/2024,Block D Flat 14-B,21.6,56,13.2,,,,
21/04/2024,Block B Flat 14 Kitchen,18.1,47,13.18,,,,
04/04/2024,Block D Flat 14-A,20.9,44,13.12,,,,
01/04/2024,Block D Flat 14-A,21.1,47,13.11,,,,
20/04/2024,Block B Flat 14 Kitchen,18.3,34,12.69,,,,
03/04/2024,Block B Flat 7-F,21.1,46,12.63,,,,
03/04/2024,Block D Flat 11-B,21.1,48,12.58,,,,
01/04/2024,Block D Flat 3-B,21,45,12.48,,,,
25/04/2024,Block B Flat 6 Kitchen,18.3,33,12.39,,,,
01/04/2024,Block D Flat 4 Kitchen,21.3,42,12.29,,,,
26/04/2024,Block B Flat 7 Kitchen,18.1,33,12.1,,,,
01/04/2024,Block C Flat 4 Kitchen,21.3,40,12.07,,,,
03/04/2024,Block D Flat 14-A,21.1,53,12.04,,,,
04/04/2024,Block B Flat 3-B,20.6,45,11.93,,,,
01/04/2024,Block C Flat 14 Kitchen,21.2,41,11.9,,,,
03/04/2024,Block B Flat 14-B,21.3,44,11.85,,,,
